# Here you find the simulation outputdata
# Look into dda_Particles.dat for general simulation data and aggregate data
#
#######################################################
# Experiment:							dda
# Date:									2025-04-04 11:00

#######################################################
# Conditions acc to:					Pe
# Peclet Number:						0.0000e+00
# z-Velocity (m/s):						0.0000e+00
# Box_size (rel. to r_mean):			280
# Hight above max(z) (rel. to r_mean):	60
# Timestep adjustment:					1.00
# Temperature (K):						298.00
#######################################################
# Particle Size Distribution:			lognorm
# Particle Mean Radius (nm):			4.48
# Particle sDerivation:					0.37
# Calculation Friction acc to:			Chen & Dahneke
#######################################################
# Primary particles:					2000
# Aggregates:							65
# Particle Number Distribution:			none
# Particles per Aggregate:				31
#
# Fractal Dimension / Prefactor:		1.80	1.30
# Epsilon,Delta,Deformation:			1.001	1.010	1.000
# One Material is used
# Density (kg/m^3):						4.23e+03
#
#######################################################
# Agg	Np	Diff_p(m^2/s)	frict	m_p(kg)	t_s(s)	r_g	rho(kg/m^3)
0	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.586709e-08	4.230e+03
1	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.585027e-08	4.230e+03
2	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.567085e-08	4.230e+03
3	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.585068e-08	4.230e+03
4	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.577945e-08	4.230e+03
5	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.589263e-08	4.230e+03
6	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.591395e-08	4.230e+03
7	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.582759e-08	4.230e+03
8	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.597275e-08	4.230e+03
9	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.567555e-08	4.230e+03
10	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.547660e-08	4.230e+03
11	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.566277e-08	4.230e+03
12	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.557350e-08	4.230e+03
13	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.585776e-08	4.230e+03
14	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.588200e-08	4.230e+03
15	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.583999e-08	4.230e+03
16	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.586393e-08	4.230e+03
17	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.580856e-08	4.230e+03
18	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.557354e-08	4.230e+03
19	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.574085e-08	4.230e+03
20	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.576118e-08	4.230e+03
21	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.588062e-08	4.230e+03
22	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.554040e-08	4.230e+03
23	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.572983e-08	4.230e+03
24	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.553261e-08	4.230e+03
25	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.593277e-08	4.230e+03
26	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.588730e-08	4.230e+03
27	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.575054e-08	4.230e+03
28	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.578508e-08	4.230e+03
29	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.587754e-08	4.230e+03
30	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.599096e-08	4.230e+03
31	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.577280e-08	4.230e+03
32	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.591905e-08	4.230e+03
33	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.597795e-08	4.230e+03
34	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.548693e-08	4.230e+03
35	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.536070e-08	4.230e+03
36	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.578283e-08	4.230e+03
37	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.558970e-08	4.230e+03
38	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.598916e-08	4.230e+03
39	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.548941e-08	4.230e+03
40	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.581521e-08	4.230e+03
41	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.585837e-08	4.230e+03
42	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.580382e-08	4.230e+03
43	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.593616e-08	4.230e+03
44	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.579103e-08	4.230e+03
45	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.595040e-08	4.230e+03
46	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.576764e-08	4.230e+03
47	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.583140e-08	4.230e+03
48	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.532517e-08	4.230e+03
49	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.589598e-08	4.230e+03
50	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.579546e-08	4.230e+03
51	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.604201e-08	4.230e+03
52	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.553523e-08	4.230e+03
53	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.584624e-08	4.230e+03
54	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.579102e-08	4.230e+03
55	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.587531e-08	4.230e+03
56	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.589227e-08	4.230e+03
57	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.591966e-08	4.230e+03
58	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.579038e-08	4.230e+03
59	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.587359e-08	4.230e+03
60	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.565929e-08	4.230e+03
61	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.586421e-08	4.230e+03
62	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.568732e-08	4.230e+03
63	31	3.115692e-09	1.320520e-12	4.935531e-20	3.219419e-09	2.601875e-08	4.230e+03
64	16	6.036654e-09	6.815586e-13	2.547371e-20	1.661636e-09	1.770477e-08	4.230e+03
