# Here you find the simulation outputdata
# Look into hetero_Particles.dat for general simulation data and aggregate data
#
#######################################################
# Experiment:							hetero
# Date:									2025-04-04 11:41

#######################################################
# Conditions acc to:					Pe
# Peclet Number:						0.0000e+00
# z-Velocity (m/s):						0.0000e+00
# Box_size (rel. to r_mean):			280
# Hight above max(z) (rel. to r_mean):	60
# Timestep adjustment:					1.00
# Temperature (K):						1488.10
#######################################################
# Particle Size Distribution:			lognorm
# Particle Mean Radius (nm):			4.48
# Particle sDerivation:					0.37
# Calculation Friction acc to:			Chen & Dahneke
#######################################################
# Primary particles:					200000
# Aggregates:							6452
# Particle Number Distribution:			none
# Particles per Aggregate:				31
#
# Fractal Dimension / Prefactor:		2.05	1.30
# Epsilon,Delta,Deformation:			1.001	1.010	1.000
# One Material is used
# Density (kg/m^3):						4.23e+03
#
#######################################################
# Agg	Np	Diff_p(m^2/s)	frict	m_p(kg)	t_s(s)	r_g	rho(kg/m^3)
0	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081987e-08	4.230e+03
1	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	1.984182e-08	4.230e+03
2	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.037851e-08	4.230e+03
3	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.016655e-08	4.230e+03
4	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.076259e-08	4.230e+03
5	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.076719e-08	4.230e+03
6	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.072754e-08	4.230e+03
7	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.010269e-08	4.230e+03
8	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.008779e-08	4.230e+03
9	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.052579e-08	4.230e+03
10	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.054915e-08	4.230e+03
11	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.039950e-08	4.230e+03
12	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098291e-08	4.230e+03
13	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.015290e-08	4.230e+03
14	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081860e-08	4.230e+03
15	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.044137e-08	4.230e+03
16	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.009021e-08	4.230e+03
17	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.090179e-08	4.230e+03
18	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088211e-08	4.230e+03
19	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087081e-08	4.230e+03
20	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.077921e-08	4.230e+03
21	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088103e-08	4.230e+03
22	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.030881e-08	4.230e+03
23	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087600e-08	4.230e+03
24	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.062398e-08	4.230e+03
25	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087089e-08	4.230e+03
26	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.085289e-08	4.230e+03
27	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081565e-08	4.230e+03
28	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.001194e-08	4.230e+03
29	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.036284e-08	4.230e+03
30	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.084106e-08	4.230e+03
31	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.027885e-08	4.230e+03
32	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.099450e-08	4.230e+03
33	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087633e-08	4.230e+03
34	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.101379e-08	4.230e+03
35	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.062061e-08	4.230e+03
36	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.084073e-08	4.230e+03
37	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.078202e-08	4.230e+03
38	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.096866e-08	4.230e+03
39	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075074e-08	4.230e+03
40	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097692e-08	4.230e+03
41	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089081e-08	4.230e+03
42	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.048028e-08	4.230e+03
43	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081186e-08	4.230e+03
44	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089016e-08	4.230e+03
45	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075227e-08	4.230e+03
46	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.091217e-08	4.230e+03
47	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.078834e-08	4.230e+03
48	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.080605e-08	4.230e+03
49	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093279e-08	4.230e+03
50	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.077192e-08	4.230e+03
51	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.028944e-08	4.230e+03
52	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.090279e-08	4.230e+03
53	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.082821e-08	4.230e+03
54	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.035566e-08	4.230e+03
55	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.016465e-08	4.230e+03
56	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.053702e-08	4.230e+03
57	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.064626e-08	4.230e+03
58	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081156e-08	4.230e+03
59	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.021808e-08	4.230e+03
60	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.086647e-08	4.230e+03
61	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089080e-08	4.230e+03
62	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.057969e-08	4.230e+03
63	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.044960e-08	4.230e+03
64	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.045441e-08	4.230e+03
65	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.086647e-08	4.230e+03
66	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.080118e-08	4.230e+03
67	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.029613e-08	4.230e+03
68	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.000835e-08	4.230e+03
69	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087229e-08	4.230e+03
70	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.037149e-08	4.230e+03
71	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089501e-08	4.230e+03
72	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.042688e-08	4.230e+03
73	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.060330e-08	4.230e+03
74	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.068915e-08	4.230e+03
75	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.058544e-08	4.230e+03
76	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.052303e-08	4.230e+03
77	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093199e-08	4.230e+03
78	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.006072e-08	4.230e+03
79	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.031170e-08	4.230e+03
80	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.067553e-08	4.230e+03
81	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075077e-08	4.230e+03
82	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081698e-08	4.230e+03
83	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075989e-08	4.230e+03
84	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.033362e-08	4.230e+03
85	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.058034e-08	4.230e+03
86	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.085331e-08	4.230e+03
87	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087314e-08	4.230e+03
88	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093869e-08	4.230e+03
89	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.048085e-08	4.230e+03
90	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.080802e-08	4.230e+03
91	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.019732e-08	4.230e+03
92	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.057132e-08	4.230e+03
93	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075373e-08	4.230e+03
94	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088539e-08	4.230e+03
95	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.083642e-08	4.230e+03
96	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.042278e-08	4.230e+03
97	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.066054e-08	4.230e+03
98	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.021358e-08	4.230e+03
99	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.035607e-08	4.230e+03
100	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.080631e-08	4.230e+03
101	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.029159e-08	4.230e+03
102	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.067618e-08	4.230e+03
103	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.086912e-08	4.230e+03
104	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.020152e-08	4.230e+03
105	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.007197e-08	4.230e+03
106	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.037044e-08	4.230e+03
107	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.059930e-08	4.230e+03
108	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.092722e-08	4.230e+03
109	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.065138e-08	4.230e+03
110	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075019e-08	4.230e+03
111	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.042050e-08	4.230e+03
112	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.083884e-08	4.230e+03
113	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.053587e-08	4.230e+03
114	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.021244e-08	4.230e+03
115	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088594e-08	4.230e+03
116	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.063108e-08	4.230e+03
